bookID,title,authors,average_rating,valor,publication_date,publisher,units
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,6/6/2006,Wiley,4
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,5/31/2004,Wiley,7
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,4/25/2005,Wiley,16
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,7/29/2006,O'Reilly Media,16
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,5/3/2005,Citadel,4
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,5/3/2005,Citadel,3
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,1/1/2007,O'Reilly Media,9
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,5/31/2004,Penguin Classics,15
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,11/5/2002,Signet,18
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,1/30/2003,Penguin Books,15
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,11/26/1965,Cliffs Notes,1
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,7/1/2003,Barnes & Noble Classics,15
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,11/23/2004,Dover Publications,14
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,8/26/2004,Barnes & Noble,15
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,360,1/28/2006,Mira Books,6
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,11/26/1987,Cambridge University Press,2
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,7/3/1990,Penguin Books,3
163,The Untouchable,John Banville,3.95,367,6/30/1998,Vintage,6
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,2/1/1996,Buccaneer Books,4
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,9/27/2005,Scribner,6
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.20,100,1/28/1995,Clarity Press,1
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,224,12/20/2000,Rowman & Littlefield Publishers,4
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40,216,9/22/2003,Pearson,4
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.00,48,9/28/1991,Teacher Created Resources,0
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,360,10/1/1994,Harper Perennial,6
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00,250,5/1/2002,EMC/Paradigm Publishing,4
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60,32,1/1/2002,Teaching Resources,0
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00,205,6/1/1984,Turtleback Books,3
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,6/1/1994,Little  Brown Book Group,6
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352,1/3/2006,William Morrow,6
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,320,11/1/2005,Atria Books,6
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60,331,3/7/2006,Tor Books,6
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90,244,8/10/2004,Vintage Crime/Black Lizard,4
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,215,3/8/2005,Vintage Crime/Black Lizard,4
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191,8/10/2004,Vintage Crime/Black Lizard,3
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,10/3/1990,Vintage,2
231,I am Charlotte Simmons,Tom Wolfe,3.42,738,8/30/2005,Picador USA,13
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,48,10/1/2001,Sterling,0
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,10/3/1996,Puffin,5
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217,2/1/1964,New Directions Publishing,4
247,Quiet Days in Clichy,Henry Miller,3.69,154,1/13/1994,Grove Press,2
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,318,1/6/1994,Grove Press,6
250,Tropic of Capricorn,Henry Miller,3.78,348,1/13/1994,Grove Press,6
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.10,316,1/13/1994,Grove Press,5
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,1/12/1994,Grove Press,9
253,The Air-Conditioned Nightmare,Henry Miller,3.83,292,1/17/1970,New Directions,5
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,797,9/30/2003,Penguin Classics,15
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,635,1/16/2004,Barnes  Noble Classics,11
277,Writing,Marguerite Duras,3.75,91,5/6/1999,Brookline Books,1
278,The War,Marguerite Duras/Barbara Bray,3.85,192,8/1/1994,The New Press,3
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,181,3/12/1986,Pantheon,3
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,178,7/1/1999,One World (UK),3
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,464,4/1/1998,Interlink Publishing Group,8
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,102,1/1/1998,Penguin Books,1
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216,2/21/1995,Knopf,4
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,132,3/3/2003,Citadel,2
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100,6/14/2011,Knopf,1
295,Treasure Island,Robert Louis Stevenson,3.83,311,9/15/2001,Kingfisher,5
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,213,10/1/2004,Sterling Children's Books,4
297,Treasure Island,Robert Louis Stevenson,3.83,245,6/1/2005,Simon & Schuster,4
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,64,7/1/2003,Atheneum Books for Young Readers,1
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,272,9/3/2002,Gramercy Books,5
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,232,1/31/2006,Abdo Publishing Company,4
313,100 Years of Lynchings,Ralph Ginzburg,4.61,270,11/22/1996,Black Classic Press,5
324,Cien años de soledad,Gabriel García Márquez,4.07,448,1/1/1990,French & European,8
330,On Beyond Zebra!,Dr. Seuss,4.04,64,9/12/1955,Random House Books for Young Readers,1
332,The Wedding Clause,Debbie Raleigh,3.60,256,6/7/2005,Zebra,4
333,The Zebra Wall,Kevin Henkes,3.44,147,2/15/2005,Greenwillow Books,2
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,239,6/1/2002,Booket,4
348,The Door Into Summer,Robert A. Heinlein,4.01,304,6/17/1997,Del Rey,5
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,528,10/1/1991,Ace,9
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434,6/1/1988,Ace Books,8
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,439,10/12/1985,Del Rey,8
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,256,8/8/2006,Tor Books,4
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,307,2/15/1991,Pocket Books,5
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298,4/26/2005,Del Rey,5
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,12/27/2005,Del Rey,6
367,Douglas Adams's Starship Titanic,Terry Jones,3.60,256,10/27/1998,Ballantine Books,4
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,336,7/1/2003,Turtleback Books,6
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,72,1/12/2011,Samuel French  Inc.,1
385,On Bullshit,Harry G. Frankfurt,3.57,67,1/30/2005,Princeton University Press,1
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,347,9/12/2005,W. W. Norton & Company,6
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,6/12/1993,Simon & Schuster,5
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,32,2/2/1998,HMH Books for Young Readers,0
399,Underworld,Don DeLillo,3.92,827,7/9/1998,Scribner,15
400,Libra,Don DeLillo,3.99,480,5/1/1991,Penguin,9
403,Americana,Don DeLillo,3.43,377,7/6/1989,Penguin Books,7
404,Running Dog,Don DeLillo,3.43,256,7/17/1989,Vintage Contemporaries,4
406,Cosmopolis,Don DeLillo,3.22,224,4/6/2004,Scribner,4
407,Great Jones Street,Don DeLillo,3.48,272,1/1/1994,Penguin Books,5
408,The Names,Don DeLillo,3.64,339,7/17/1989,Vintage,6
409,Against the Day,Thomas Pynchon,4.13,1085,11/21/2006,Penguin Press,20
410,V.,Thomas Pynchon,3.96,547,7/5/2005,Harper Perennial Modern Classics,10
411,The Crying of Lot 49,Thomas Pynchon,3.69,152,4/1/1999,Harper Perennial,2
412,Gravity's Rainbow,Thomas Pynchon,4.01,784,1/1/2000,Penguin Books,14
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,773,1/3/2004,Picador USA,14
414,Vineland,Thomas Pynchon,3.69,385,9/1/1997,Penguin Classics,7
415,Gravity's Rainbow,Thomas Pynchon,4.01,776,10/31/2006,Penguin Books,14
416,Slow Learner: Early Stories,Thomas Pynchon,3.50,193,4/30/1985,Back Bay Books,3
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.80,352,8/29/1996,Penguin Classics,6
420,The Year of Magical Thinking,Joan Didion,3.89,227,10/4/2005,Knopf Publishing Group,4
421,The White Album,Joan Didion,4.17,222,10/1/1990,Farrar Straus Giroux,4
422,A Book of Common Prayer,Joan Didion,3.80,272,4/11/1995,Vintage International,5
423,Where I Was From,Joan Didion,3.86,240,9/14/2004,Vintage,4
424,Slouching Towards Bethlehem,Joan Didion,4.21,238,10/1/1990,Farrar Straus Giroux,4
425,Democracy,Joan Didion,3.81,234,4/25/1995,Vintage International,4
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.50,1122,10/17/2006,Everyman's Library,21
428,Play It As It Lays,Joan Didion/David Thomson,3.87,231,11/15/2005,Farrar  Straus and Giroux,4
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,308,3/28/2006,Penguin Classics,5
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,203,4/7/1987,Penguin Books,3
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,96,7/7/1987,Penguin Books,1
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,179,11/1/1986,Sun and Moon Press,3
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,256,1/1/1995,Sky Books (NY),4
446,The Brooklyn Follies,Paul Auster,3.84,306,10/17/2006,Picador,5
447,Moon Palace,Paul Auster,3.94,320,4/1/1990,Penguin Books,6
453,The Music of Chance,Paul Auster,3.90,217,12/1/1991,Penguin Books,4
454,Travels in the Scriptorium,Paul Auster,3.23,145,1/23/2007,Henry Holt & Company,2
456,Leviathan,Paul Auster,3.96,275,9/1/1993,Penguin Books,5
463,The Red Notebook: True Stories,Paul Auster,3.77,104,6/17/2002,New Directions,1
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,1075,11/7/2002,Actes Sud,20
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,608,12/27/2005,Penguin Books Ltd. (London),11
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.40,211,2/1/2006,Business Plus,3
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,262,3/29/1990,Cambridge University Press,4
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.80,544,8/7/2001,Simon  Schuster,10
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,272,1/29/2002,Ballantine Books,5
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,576,9/17/1998,W. W. Norton  Company,10
493,My Inventions,Nikola Tesla,4.01,88,5/17/2006,Filiquarian Publishing  LLC.,1
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,542,2/1/2001,Citadel,10
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,144,10/1/1994,Lerner Publications,2
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,100,12/1/2000,Adventures Unlimited Press,1
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,249,6/27/2006,Harlequin Blaze,4
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,828,10/11/2004,Pragmatic Bookshelf,15
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,112,6/13/2000,Cliffs Notes,2
524,Lord of the Flies,William Golding,3.68,6,10/11/2005,Listening Library (Audio),0
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,397,9/12/2006,Random House,7
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,216,1/1/1989,HarperCollins Publishers,4
537,The Lovely Bones,Alice Sebold,3.81,328,6/1/2003,Picador,6
538,The Lovely Bones,Alice Sebold,3.81,532,4/1/2004,Large Print Press,10
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.80,224,5/13/1990,Ballantine Books,4
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,296,2/17/2005,Peachpit Press,5
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.80,456,8/1/2006,Peachpit Press,8
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,575,5/15/2005,Taschen,10
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,245,6/13/2006,Scribner,4
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,272,7/2/2004,Scribner,5
619,Vice (V  #8),Jane Feather,3.51,419,5/2/1996,Bantam,7
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,540,4/25/2006,HarperTorch,10
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,32,4/1/2005,Walker & Company,0
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,408,11/19/1990,William Morrow Paperbacks,7
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,222,7/5/2002,Haynes Manuals N. America  Inc.,4
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,191,9/1/2004,Rockport Publishers,3
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,304,4/1/2003,Signet Classics,5
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,1392,6/25/1998,Oxford University Press,26
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,352,9/8/2006,Dover Publications,6
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,1168,8/1/1999,Plume,22
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,224,12/1/1963,Signet Book,4
664,The Fountainhead,Ayn Rand,3.87,752,4/26/2005,Dutton,14
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,176,11/1/1964,Signet,3
667,Anthem,Ayn Rand,3.63,105,12/1/1999,NAL,1
668,We the Living,Ayn Rand/Leonard Peikoff,3.91,464,1/1/1996,Signet,8
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,340,7/15/1986,Signet,6
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,681,2/1/1997,NAL,12
672,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,416,6/1/2006,For Dummies,7
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,368,7/25/2006,Delacorte Press,6
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,192,9/17/2002,Random House Trade Paperbacks,3
